x,y,Slope12,DEM12,rainfall_intensity,Aspect_nakhon,raster_ndvi,distance_road,distance_drainage,distance_fault,Curvature_nakhon,NDWI_combine,nakhon_geology,S/N
580237,960499,37.59859848,331,1587.810059,144.1966553,0.374395967,3915.214111,971.2450562,5070.047852,-0.741311789,-0.35504514,32,1
573630,959922,8.284179688,274,1593.02002,169.2868805,0.425546288,485.6225281,0,3109.501465,-0.529508412,-0.394868582,32,1
573167,959952,5.419340134,299,1589.469971,61.38954163,0.421361029,0,485.6225281,2831.641602,-0.105901681,-0.388955235,32,1
572929,960286,22.44249916,373,1589.469971,83.46786499,0.435398281,0,485.6225281,2831.641602,0.847213447,-0.381872326,32,1
570587,960557,19.48559952,501,1577.25,138.0127869,0.429224223,2428.112549,0,2171.77002,0.317705035,-0.398692816,32,1
577505,959907,15.64220047,375,1586.099976,286.8583984,0.329152554,3501.873779,1456.867554,5536.94873,0.423606724,-0.306055367,32,1
577948,960006,11.87279987,356,1587.109985,81.86989594,0.443883896,3915.214111,1373.547974,5429.424805,-0.741311789,-0.413216978,32,1
559569,959163,35.16690063,533,1496.400024,183.8140717,0.472890973,8354.96582,485.6225281,2747.095947,0,-0.440469593,32,1
554589,959154,17.29910088,1174,1458.619995,75.51023865,0.399955869,9712.450195,1750.93689,4856.225098,0.317705035,-0.367918074,32,1
557039,959101,30.17280006,669,1477.859985,124.2157059,0.461035728,9712.450195,0,3915.214111,-0.63541007,-0.426951379,32,1
559873,959237,18.27070045,529,1499,165.9637604,0.438216686,8082.369629,0,2428.112549,-0.63541007,-0.37913391,32,1
555283,959248,37.1053009,965,1462.560059,120.9637527,0.458504915,9712.450195,1373.547974,4581.354004,0.423606724,-0.435552567,32,1
559535,959266,27.13260078,608,1496.400024,173.8408356,0.435505956,8354.96582,485.6225281,2747.095947,-0.317705035,-0.416197896,32,1
558717,959107,22.80559921,753,1490.859985,78.88696289,0.454231083,8954.436523,971.2450562,3433.869873,-0.211803362,-0.42122528,32,1
555443,959275,11.14330006,902,1466.469971,114.0265045,0.512462199,9712.450195,1085.88501,4343.540039,-0.847213447,-0.482172191,32,1
556359,959247,6.504630089,729,1470.329956,180,0.411944419,9712.450195,686.7739868,4149.160645,-0.741311789,-0.384857118,32,1
559691,959253,19.28280067,568,1496.400024,135,0.457137018,8354.96582,485.6225281,2747.095947,-0.953115165,-0.430152953,32,1
559553,959379,18.27070045,635,1496.400024,137.161087,0.440522134,8354.96582,485.6225281,2747.095947,-0.63541007,-0.407384545,32,1
556244,959379,21.41379929,753,1470.329956,92.72631073,0.447838098,9712.450195,686.7739868,4149.160645,-1.059016824,-0.414090812,32,1
556389,959409,8.87814045,757,1470.73999,113.1985931,0.429286331,10198.07324,485.6225281,4607.02002,0.953115165,-0.401043296,32,1
560035,959411,28.32789993,549,1498.439941,127.1168594,0.386067927,8494.924805,0,2060.321777,-1.90623033,-0.355156511,32,1
559291,959376,30.39949989,638,1493.689941,147.458252,0.466644198,8646.263672,971.2450562,3109.501465,0,-0.434125125,32,1
556034,959459,31.85219955,797,1470.73999,33.14699554,0.424526274,10198.07324,485.6225281,4607.02002,-0.529508412,-0.406241357,32,1
